,hh_id,hh_race,hh_is_latinx,hh_zip_code,hh_state,hh_income,hh_size,hh_residence_type
21896,8187380,1,2,14620,NY,13,2,5
21897,8133298,2,2,33169,FL,26,2,1
21898,8133299,1,1,33130,FL,15,4,1
21899,8133977,1,1,77092,TX,26,2,1
21900,8134203,1,2,14534,NY,27,5,1
21901,8134282,1,2,28166,NC,13,2,1
21902,8134308,1,2,28625,NC,26,3,1
21903,8134338,1,2,33010,FL,26,2,1
21904,8134358,2,2,33169,FL,26,4,1
21905,8139485,1,2,69361,NE,16,4,1
21906,8140366,1,2,92024,CA,17,4,1
21907,8140540,2,2,34609,FL,19,2,1
21908,8141021,1,2,63021,MO,26,1,1
21909,8141642,2,2,24970,WV,4,1,1
21910,8142175,2,2,92056,CA,27,4,1
21911,8143674,2,2,63114,MO,19,3,1
21912,8143676,1,2,63119,MO,17,2,1
21913,8143681,1,2,63131,MO,18,2,1
21914,8143689,1,2,63129,MO,18,2,1
21915,8297446,2,2,31408,GA,15,1,7
21916,8297663,1,2,65101,MO,6,5,7
21917,6043813,1,2,23111,VA,26,2,1
21918,6058464,1,2,38558,TN,23,4,1
21919,6201067,1,2,92028,CA,23,1,3
21920,6239771,1,2,93013,CA,18,1,5
21921,7808596,1,2,91942,CA,18,4,1
21922,8000347,1,2,34613,FL,11,1,1
21923,8257826,1,2,41101,KY,11,2,1
21924,8002172,1,2,17022,PA,18,1,1
21925,8005454,1,2,45647,OH,10,1,1
21926,8005615,1,2,43055,OH,15,5,1
21927,8005638,1,2,43055,OH,26,2,1
21928,8005726,1,2,43001,OH,23,3,1
21929,8006199,1,2,27502,NC,27,3,1
21930,8006313,1,2,43031,OH,15,1,1
21931,8006317,1,2,43055,OH,23,2,1
21932,8006320,2,2,43055,OH,10,1,6
21933,8006328,4,2,43055,OH,17,2,1
21934,8006337,1,2,43055,OH,13,2,1
21935,8006374,1,2,43062,OH,16,2,1
21936,8007277,1,2,45601,OH,6,4,1
21937,8007287,1,2,45651,OH,10,2,7
21938,8007292,1,2,45601,OH,10,1,1
21939,8007295,1,2,45601,OH,19,1,1
21940,8007303,4,2,45601,OH,18,1,1
21941,8007317,1,2,45601,OH,19,2,1
21942,8217117,1,2,43135,OH,15,4,1
21943,8217194,2,2,28203,NC,13,4,3
21944,8217210,1,2,40121,KY,19,4,1
21945,8217401,1,2,56057,MN,21,3,1
21946,8218044,1,2,2019,MA,15,5,1
21947,8004344,1,2,34275,FL,13,1,7
21948,8004626,1,2,17837,PA,27,2,1
21949,8004958,1,2,34240,FL,23,2,1
21950,8005658,1,2,26003,WV,26,2,1
21951,8005774,1,2,43135,OH,16,3,1
21952,8007358,1,2,2026,MA,15,2,1
