monthly,avg_trips
200312,3.1739
200401,16.4624
200402,15.6228
200403,16.4366
200404,16.1167
200405,16.5057
200406,15.5884
200407,16.0626
200408,16.1260
200409,14.9928
200410,16.0088
200411,16.2321
200412,15.4750
