hh_id,hh_race,hh_is_latinx,hh_zip_code,hh_state,hh_income,hh_size,hh_residence_type
9174096,1,2,37409,TN,13,2,1
8156845,1,2,33703,FL,15,2,1
9173817,1,2,18104,PA,17,2,1
8306376,1,2,35956,AL,26,3,1
8156604,1,2,14043,NY,21,4,1
2094488,4,2,11217,NY,21,7,5
8233985,1,2,54001,WI,13,2,5
8238765,1,2,35976,AL,15,2,1
8117269,1,2,2889,RI,13,1,3
8225454,1,2,77833,TX,17,1,1
8257724,1,2,39051,MS,23,2,1
2069931,1,2,17522,PA,19,5,5
8090702,1,2,95825,CA,10,1,5
9102587,1,2,18104,PA,17,4,1
8116573,1,2,1031,MA,18,4,5
8185696,1,2,77077,TX,19,2,5
8265241,1,2,11373,NY,21,2,5
8162652,1,2,33179,FL,26,2,1
8155401,1,2,85204,AZ,15,1,4
8261486,1,2,38863,MS,16,3,1
8257246,1,2,38478,TN,15,2,1
8184113,2,2,28025,NC,17,2,7
8182085,3,2,78245,TX,17,2,1
8252519,1,2,13219,NY,17,4,1
2090096,1,2,10520,NY,13,2,5
8096043,1,2,33411,FL,11,2,7
9098697,1,2,6109,CT,21,3,3
8254700,1,2,35023,AL,21,4,1
9151320,1,2,49735,MI,15,4,1
2087250,1,2,7481,NJ,26,4,1
2066913,1,2,72730,AR,13,2,1
2089192,1,2,22043,VA,27,2,1
2080656,1,2,60625,IL,10,1,5
2096277,1,2,7456,NJ,26,4,1
8251234,1,2,40330,KY,17,2,1
2094687,1,2,18067,PA,27,3,1
8243202,1,2,40291,KY,15,2,1
8240582,1,2,76201,TX,15,2,1
2079933,1,2,78660,TX,19,7,1
8114741,1,2,89147,NV,26,2,6
8076573,1,2,14075,NY,13,1,3
8235681,4,1,85746,AZ,16,4,1
2038958,1,2,17331,PA,18,3,5
2058280,1,2,19454,PA,21,4,1
8222514,1,2,17752,PA,21,4,1
8096431,1,2,33414,FL,26,2,3
2069479,1,2,19504,PA,13,2,3
8063315,1,2,14213,NY,18,2,5
8092149,1,2,37931,TN,16,3,5
8219756,1,2,62010,IL,13,1,1
2067149,1,2,17042,PA,18,2,1
8077084,1,2,27909,NC,21,3,1
2051392,1,2,36375,AL,16,1,1
8062608,1,2,28163,NC,23,4,1
8236021,1,2,37347,TN,15,3,1
8249763,1,2,35035,AL,18,3,1
2046556,3,2,8060,NJ,23,4,5
2058188,2,1,45426,OH,17,2,2
8243746,1,2,76310,TX,19,4,1
8085901,1,2,55412,MN,26,3,1
8219187,1,2,85711,AZ,3,2,5
8248269,1,2,72601,AR,19,2,1
8189500,1,2,62260,IL,23,2,7
9064575,1,2,65355,MO,13,2,1
2038547,1,2,43229,OH,23,5,1
8059957,4,2,14616,NY,15,2,1
2078250,1,1,95054,CA,27,5,2
8251953,1,2,75766,TX,17,2,1
2020778,1,2,59436,MT,16,2,1
8255718,1,2,40601,KY,18,2,1
8240087,1,2,79934,TX,21,2,1
2091392,1,2,78566,TX,18,2,1
8035374,1,2,85208,AZ,15,2,7
2030139,1,2,1475,MA,19,2,7
8208224,1,2,28152,NC,11,2,1
8212165,1,2,48739,MI,23,4,1
2080557,4,1,78224,TX,16,2,5
8056207,1,2,60453,IL,21,3,1
8177896,1,2,85206,AZ,18,1,6
2021253,2,2,18355,PA,27,4,2
8077733,1,2,35603,AL,26,2,1
2053834,1,2,8361,NJ,27,5,1
8040873,1,2,3908,ME,26,2,1
8003693,1,2,33702,FL,13,2,1
9087371,1,2,29150,SC,27,6,1
8124416,1,2,27455,NC,27,4,1
9089575,1,2,32277,FL,26,2,1
9081320,1,2,50126,IA,18,2,1
9084245,1,2,32024,FL,4,6,1
9153721,1,2,28792,NC,13,2,1
2083797,1,2,77656,TX,13,2,7
8305655,1,2,27298,NC,13,1,1
9070084,1,2,94114,CA,23,1,3
9159684,1,2,14075,NY,17,2,1
8301801,1,2,53214,WI,17,3,1
8202546,1,2,14051,NY,17,1,1
9151700,1,2,17602,PA,21,4,1
9088003,1,2,17321,PA,21,3,1
9081697,1,2,7041,NJ,26,2,1
8023867,1,2,85208,AZ,16,3,7
8273656,1,2,95828,CA,13,2,1
2064492,1,2,75418,TX,6,1,7
8259270,1,2,71438,LA,15,2,1
8259864,1,2,37803,TN,18,4,1
2031098,1,2,78642,TX,13,2,1
2019166,1,2,17545,PA,23,2,1
9088109,1,2,85051,AZ,21,4,1
9150487,1,2,55422,MN,27,2,1
2010361,1,2,18301,PA,19,3,1
